id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,product_type,google_product_category,inventory,custom_label_0,custom_label_1,item_group_id
atlas-briefcase-vintage,Atlas Briefcase · Vintage,"Vintage-register briefcase in deep cognac leather. Dual buckle closures, sturdy top handle, removable crossbody strap. Designed for daily commute with documents and a 14"" laptop.",in stock,new,385.00 USD,https://www.maisontanneurs.com/products/atlas-briefcase-vintage,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-09.webp",Maison Tanneurs,Briefcase,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",15,P1,Briefcase,
atlas-field-briefcase,Atlas Field Briefcase,"Utility briefcase in full-grain cognac leather with a wide flap, side buckle straps, twin front pockets, and a stitched top handle. Built for documents, travel, and daily carry with field-bag practicality.",in stock,new,385.00 USD,https://www.maisontanneurs.com/products/atlas-field-briefcase,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-09.webp",Maison Tanneurs,Briefcase,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",10,P1,Briefcase,
atlas-kilim-rucksack,Atlas Kilim Rucksack,"Rucksack rendered in saddle cognac leather framing handwoven kilim wool panels from Atlas weavers. The sister silhouette to the Kilim Duffle, shoulder-carry register.",in stock,new,395.00 USD,https://www.maisontanneurs.com/products/atlas-kilim-rucksack,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-scale.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-09.webp",Maison Tanneurs,Backpack,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",10,P1,Backpack,
atlas-messenger-laptop,Atlas Messenger · Laptop,"Modern messenger in burnished cognac leather. Padded 14"" laptop sleeve, brass-finished hardware, flap closure with internal magnetic snaps. Daily commute, decade of patina.",in stock,new,325.00 USD,https://www.maisontanneurs.com/products/atlas-messenger-laptop,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-scale.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-02.webp",Maison Tanneurs,Messenger,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",20,P1,Messenger,
atlas-weekender-cognac,Atlas Weekender · Cognac,"Soft slouchy cognac leather weekender with double rolled handles and side slip pocket. Patinas warmer with every trip. Brass zip, lined interior.",in stock,new,325.00 USD,https://www.maisontanneurs.com/products/atlas-weekender-cognac,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-03.webp",Maison Tanneurs,Weekender,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",16,P1,Weekender,
classic-cognac-satchel,Classic Cognac Satchel,"Classic briefcase satchel in rich cognac full-grain leather. Dual brass buckle closures, sturdy top handle plus removable crossbody strap. Cream saddle-stitch edges throughout. Carries a 14"" laptop. Heirloom-grade.",in stock,new,285.00 USD,https://www.maisontanneurs.com/products/classic-cognac-satchel,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-09.webp",Maison Tanneurs,Satchel,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",20,P1,Satchel,
cognac-brogue-backpack,Cognac Brogue Backpack,"Structured cognac full-grain leather backpack with dual zip compartments, compact front pocket, leather pullers, and adjustable shoulder straps. A practical city piece with warm pull-up character and hand-finished edges.",in stock,new,265.00 USD,https://www.maisontanneurs.com/products/cognac-brogue-backpack,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-09.webp",Maison Tanneurs,Backpack,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",20,P1,Backpack,
expedition-rolltop-cognac,Expedition Rolltop · Cognac,"Cognac full-grain leather rolltop expedition pack with vertical X-strap closure. Vegetable-tanned in Marrakech, brass tri-glide buckles, internal padded sleeve. Built for daily carry and long miles.",in stock,new,295.00 USD,https://www.maisontanneurs.com/products/expedition-rolltop-cognac,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-03.webp",Maison Tanneurs,Backpack,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",18,P1,Backpack,
expedition-rolltop-noir,Expedition Rolltop · Noir,"Same expedition silhouette in deep noir leather. Vegetable-tanned, X-strap closure, brass tri-glides, internal padded sleeve. A quieter cut of the cognac.",in stock,new,295.00 USD,https://www.maisontanneurs.com/products/expedition-rolltop-noir,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-03.webp",Maison Tanneurs,Backpack,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",14,P1,Backpack,
explorer-rolltop-cognac,Explorer Rolltop · Cognac,Modern rolltop rucksack in deep saddle cognac. Brass center buckle closes a full-bleed roll-down panel; a brass zip pocket runs the vertical centerline. Patinas warm and softens at the corners with daily carry.,in stock,new,285.00 USD,https://www.maisontanneurs.com/products/explorer-rolltop-cognac,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp,"https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-scale.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-09.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-01.webp",Maison Tanneurs,Backpack,"Apparel & Accessories > Handbags, Wallets & Cases > Handbags",18,P1,Backpack,
