sku,title,description,price,currency_code,quantity,category,materials,tags,image_urls,production_partner,who_made,when_made,is_supply,personalization
atlas-briefcase-vintage,Atlas Briefcase · Vintage,"Vintage-register briefcase in deep cognac leather. Dual buckle closures, sturdy top handle, removable crossbody strap. Designed for daily commute with documents and a 14"" laptop.
Materials: Full-grain Moroccan leather, Aged brass hardware, Dual buckle closures, Padded 14"" laptop sleeve, Hand saddle-stitched in Marrakech
Dimensions: 42cm × 32cm × 12cm · briefcase
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",385.00,USD,15,Briefcase,"Full-grain Moroccan leather, Aged brass hardware, Dual buckle closures, Padded 14"" laptop sleeve, Hand saddle-stitched in Marrakech","leather bag, moroccan leather, handmade bag, briefcase, atlas briefcase vintage, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-briefcase-vintage-pdp-09.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
atlas-field-briefcase,Atlas Field Briefcase,"Utility briefcase in full-grain cognac leather with a wide flap, side buckle straps, twin front pockets, and a stitched top handle. Built for documents, travel, and daily carry with field-bag practicality.
Materials: Full-grain Moroccan leather, Solid brass hardware, Hand-finished in Marrakech
Dimensions: See product page for current dimensions
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",385.00,USD,10,Briefcase,"Full-grain Moroccan leather, Solid brass hardware, Hand-finished in Marrakech","leather bag, moroccan leather, handmade bag, briefcase, atlas field briefcase, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-field-briefcase-pdp-09.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
atlas-kilim-rucksack,Atlas Kilim Rucksack,"Rucksack rendered in saddle cognac leather framing handwoven kilim wool panels from Atlas weavers. The sister silhouette to the Kilim Duffle, shoulder-carry register.
Materials: Full-grain Moroccan leather, Handwoven Atlas kilim wool panels, Solid brass hardware, Hand-finished in Marrakech
Dimensions: 42cm × 32cm × 16cm · kilim panel rucksack
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",395.00,USD,10,Backpack,"Full-grain Moroccan leather, Handwoven Atlas kilim wool panels, Solid brass hardware, Hand-finished in Marrakech","leather bag, moroccan leather, handmade bag, backpack, atlas kilim rucksack, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-scale.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-kilim-rucksack-pdp-08.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
atlas-messenger-laptop,Atlas Messenger · Laptop,"Modern messenger in burnished cognac leather. Padded 14"" laptop sleeve, brass-finished hardware, flap closure with internal magnetic snaps. Daily commute, decade of patina.
Materials: Full-grain Moroccan leather, Padded 14"" laptop sleeve, Solid antique brass hardware, Hand saddle-stitched in Marrakech
Dimensions: 40cm × 30cm × 8cm · laptop messenger
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",325.00,USD,20,Messenger,"Full-grain Moroccan leather, Padded 14"" laptop sleeve, Solid antique brass hardware, Hand saddle-stitched in Marrakech","leather bag, moroccan leather, handmade bag, messenger, atlas messenger laptop, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-scale.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-messenger-laptop-pdp-02.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
atlas-weekender-cognac,Atlas Weekender · Cognac,"Soft slouchy cognac leather weekender with double rolled handles and side slip pocket. Patinas warmer with every trip. Brass zip, lined interior.
Materials: Full-grain Moroccan leather, Solid brass zipper and hardware, Dual rolled leather handles, Hand-finished in Marrakech
Dimensions: 50cm × 26cm × 22cm · weekender
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",325.00,USD,16,Weekender,"Full-grain Moroccan leather, Solid brass zipper and hardware, Dual rolled leather handles, Hand-finished in Marrakech","leather bag, moroccan leather, handmade bag, weekender, atlas weekender cognac, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/atlas-weekender-cognac-pdp-03.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
classic-cognac-satchel,Classic Cognac Satchel,"Classic briefcase satchel in rich cognac full-grain leather. Dual brass buckle closures, sturdy top handle plus removable crossbody strap. Cream saddle-stitch edges throughout. Carries a 14"" laptop. Heirloom-grade.
Materials: Full-grain Moroccan leather, Dual brass buckle closures, Top carry handle + crossbody strap, Cream contrast saddle-stitch, Hand-stitched in Marrakech
Dimensions: 40cm × 30cm × 12cm · briefcase silhouette
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",285.00,USD,20,Satchel,"Full-grain Moroccan leather, Dual brass buckle closures, Top carry handle + crossbody strap, Cream contrast saddle-stitch, Hand-stitched in Marrakech","leather bag, moroccan leather, handmade bag, satchel, classic cognac satchel, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/classic-cognac-satchel-pdp-09.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
cognac-brogue-backpack,Cognac Brogue Backpack,"Structured cognac full-grain leather backpack with dual zip compartments, compact front pocket, leather pullers, and adjustable shoulder straps. A practical city piece with warm pull-up character and hand-finished edges.
Materials: Full-grain Moroccan leather, Brogue-style edge stitching, Brass buckle hardware, Hand-stitched in Marrakech
Dimensions: 38cm × 30cm × 12cm · single front pocket
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",265.00,USD,20,Backpack,"Full-grain Moroccan leather, Brogue-style edge stitching, Brass buckle hardware, Hand-stitched in Marrakech","leather bag, moroccan leather, handmade bag, backpack, cognac brogue backpack, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-03.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/cognac-brogue-backpack-pdp-09.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
expedition-rolltop-cognac,Expedition Rolltop · Cognac,"Cognac full-grain leather rolltop expedition pack with vertical X-strap closure. Vegetable-tanned in Marrakech, brass tri-glide buckles, internal padded sleeve. Built for daily carry and long miles.
Materials: Full-grain Moroccan leather, Solid brass hardware, Hand-finished in Marrakech
Dimensions: 48cm × 32cm × 18cm · rolltop expedition
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",295.00,USD,18,Backpack,"Full-grain Moroccan leather, Solid brass hardware, Hand-finished in Marrakech","leather bag, moroccan leather, handmade bag, backpack, expedition rolltop cognac, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-cognac-pdp-03.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
expedition-rolltop-noir,Expedition Rolltop · Noir,"Same expedition silhouette in deep noir leather. Vegetable-tanned, X-strap closure, brass tri-glides, internal padded sleeve. A quieter cut of the cognac.
Materials: Full-grain Moroccan leather, Solid brass hardware, Hand-finished in Marrakech
Dimensions: 48cm × 32cm × 18cm · rolltop expedition
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",295.00,USD,14,Backpack,"Full-grain Moroccan leather, Solid brass hardware, Hand-finished in Marrakech","leather bag, moroccan leather, handmade bag, backpack, expedition rolltop noir, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-01.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-02.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/expedition-rolltop-noir-pdp-03.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
explorer-rolltop-cognac,Explorer Rolltop · Cognac,"Modern rolltop rucksack in deep saddle cognac. Brass center buckle closes a full-bleed roll-down panel; a brass zip pocket runs the vertical centerline. Patinas warm and softens at the corners with daily carry.
Materials: Full-grain Moroccan leather, Solid antique brass center buckle, Brass YKK zip front panel, Adjustable dual shoulder straps, Hand saddle-stitched in Marrakech
Dimensions: 44cm × 30cm × 16cm · rolltop with brass center buckle
Shipping: Free worldwide tracked express courier. Ships from Morocco.
Returns and repairs: See Maison Tanneurs shop policies.",285.00,USD,18,Backpack,"Full-grain Moroccan leather, Solid antique brass center buckle, Brass YKK zip front panel, Adjustable dual shoulder straps, Hand saddle-stitched in Marrakech","leather bag, moroccan leather, handmade bag, backpack, explorer rolltop cognac, artisan made, full grain leather, marrakech, gift for her, gift for him, travel bag, boho leather, luxury leather","https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-white.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-scale.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-04.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-05.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-06.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-07.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-08.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-09.webp,https://xbtabpurfavngwmwtawc.supabase.co/storage/v1/object/public/products/drop-02/explorer-rolltop-cognac-pdp-01.webp","Maison Tanneurs atelier, Marrakech",i_did,made_to_order,false,No
